oldal,sor,PID,name,ingóság száma,jármű fajtája,járművek száma,jármű típus száma,Gépjárművek,"szerz. ideje, jogcíme",which if
3,3,1,HEGEDŰS BARBARA,1,SZGK,1,1,VOLKSWAGEN ARTEON,2024.12.05.  VÉTEL,a
12,3,2,ARATÓ GERGELY LÁSZLÓ,1,SZGK,1,1,DACIA DUSTER,2022  LÍZING,a
32,3,4,DR. ARADSZKI ANDRÁS,1,SZGK,1,1,CITROEN 4 GRAND PICASSO,"2018. 08.10.,  VÉTEL",a
32,5,4,DR. ARADSZKI ANDRÁS,2,SZGK,2,2,SKODA KODIAQ PS,2024.12.12.  VÉTEL,a-2
54,3,5,DR. APÁTI ISTVÁN,1,SZGK,1,1,HONDA ACCORD TYPE-S 2.4 I,"2014. 04. 28.,  ADÁSVÉTEL",a
64,3,6,ANDER BALÁZS,1,SZGK,1,1,SSANGYONG REXTON 2.7. XDI,2022.09.17.  ADÁSVÉTEL (VÉTELÁR: 1.800.000 FT),a
64,7,6,ANDER BALÁZS,2,MOTOR,2,1,SUZUKI VL 125,2022.11.02.  *VÉTELÁR: 670.000 FT,c
73,3,7,BALLA GYÖRGY,1,SZGK,1,1,TOYOTA YARIS,2024  VÉTEL,a
82,3,8,BALLA MIHÁLY,1,SZGK,1,1,FORD KUGA (2018-AS),"2020. AUGUSZTUS,  ADÁS-VÉTEL",a
99,7,9,BÁNKI ERIK,1,MOTOR,1,1,BMW C1,2015.  ADÁSVÉTEL,c
99,9,9,BÁNKI ERIK,2,MOTOR,2,2,BMW 650,2024.  ADÁSVÉTEL,c2
127,3,11,BENCSIK JÁNOS,1,SZGK,1,1,DACIA DUSTER,2016 -  VÉTEL,a
139,3,12,BÁNYAI GÁBOR,1,SZGK,1,1,TOYOTA RAV 4,"2022,  VÁSÁRLÁS",a
139,5,12,BÁNYAI GÁBOR,2,TEHER-GK,2,1,LANDINI REX MG-I VONTATÓ,2014  VÁSÁRLÁS,b
139,7,12,BÁNYAI GÁBOR,3,TEHER-GK,3,2,GOLDONI STAR MG-I VONTATÓ,2019  VÁSÁRLÁS,b2
168,3,15,BARTOS MÓNIKA ÉVA,1,SZGK,1,1,CHRYSLER PT,"2014. JÚLIUS,  ADÁSVÉTEL",a
177,3,16,BODÓ SÁNDOR,1,SZGK,1,1,VOLVO CX 60,2023.  VÁSÁRLÁS,a
186,3,17,DR. BRENNER KOLOMAN,1,SZGK,1,1,MERCEDES BENZ E 220D,"2024.09.25.  VÁSÁRLÁS, VÉTELÁR: 7,5 MILLIÓ FORINT",a
196,3,18,DR. BARCZA ATTILA,1,SZGK,1,1,VOLKSWAGEN PASSAT 2010-ÉVJ.,2018.  VÁSÁRLÁS,a
214,3,20,BEDŐ DÁVID,1,SZGK,1,1,SKODA OCTAVIA 2019,"2022,  ADÁS VÉTEL",a
223,3,21,BERKI SÁNDOR,1,SZGK,1,1,VOLKSWAGEN GOLF,2017  ADÁSVÉTEL,a
223,5,21,BERKI SÁNDOR,2,TEHER-GK,2,1,SSANGYONG KORANDO,2023  ADÁSVÉTEL,b
232,3,22,BARKÓCZI BALÁZS,1,SZGK,1,1,MAZDA,"2022. OKTÓBER,  ADÁSVÉTEL",a
244,3,23,BALASSA PÉTER SÁNDOR,1,SZGK,1,1,BMW 530 XD KOMBI,2021  ADÁS-VÉTEL,a
257,3,24,BENCZE JÁNOS,1,SZGK,1,1,FORD TRANSIT (2008),"2018.05.,  VÁSÁRLÁS",a
257,5,24,BENCZE JÁNOS,2,SZGK,2,2,BMW 320D (2006),"2024. 09.,  VÁSÁRLÁS",a-2
257,7,24,BENCZE JÁNOS,3,SZGK,3,3,OPEL CAMPO (1994),"2021,  VÁSÁRLÁS",a-2
257,9,24,BENCZE JÁNOS,4,SZGK,4,4,OPEL CAMPO (1998),2021  VÁSÁRLÁS,a-2
257,13,24,BENCZE JÁNOS,5,MOTOR,5,1,HONDA CB900 BOLDOR (1982),"2015,  VÁSÁRLÁS",c
257,15,24,BENCZE JÁNOS,6,MOTOR,6,2,JUNAKM10 (1965),"1997,  VÁSÁRLÁS",c2
257,17,24,BENCZE JÁNOS,7,MOTOR,7,3,DANUVIA 125,"1993,  VÁSÁRLÁS",c2
257,19,24,BENCZE JÁNOS,8,MOTOR,8,4,MOTO GUZZI V65 (1985),2023  VÁSÁRLÁS,c2
302,3,28,CZUNYINÉ DR BERTALAN JUDIT,1,SZGK,1,1,MERCEDES GLC,2020  LÍZING,a
312,3,29,CSÖBÖR KATALIN,1,SZGK,1,1,SKODA,2024  VÉTEL,a
321,3,30,CSÁRDI ANTAL,1,SZGK,1,1,SUZUKI VITARA,"2018,  LÍZING",a
330,3,31,DR. CSEH KATALIN,1,SZGK,1,1,VOLKSWAGEN GOLF VARIANT LIFE 1.5 ETSI,"2021,  ADÁS-VÉTEL",a
339,3,32,DR. CSEH KATALIN,1,SZGK,1,1,VOLKSWAGEN GOLF VARIANT LIFE 1.5 ETSI,"2021,  ADÁS-VÉTEL",a
349,3,33,DEMETER ZOLTÁN,1,SZGK,1,1,TOYOTA RAV 4.,2023.  VÁSÁRLÁS,a
376,3,35,DANKÓ BÉLA,1,SZGK,1,1,HYUNDAI SANTA FE,(2021.ÉV)  VÁSÁRLÁS,a
376,5,35,DANKÓ BÉLA,2,SZGK,2,2,TOYOTA HILUX,(2024.ÉV)  VÁSÁRLÁS,a-2
385,3,36,DUDÁS RÓBERT,1,SZGK,1,1,AUDI A6 KOMBI (2013 ÉVJÁRAT),2020  VÁSÁRLÁS,a
420,3,37,DÓCS DÁVID,1,SZGK,1,1,SKODA KODIAQ,"2020.02.24.,",a
420,5,37,DÓCS DÁVID,2,TEHER-GK,2,1,IFA TGK,"2017.,  ADÁSVÉTEL",b
420,7,37,DÓCS DÁVID,3,TEHER-GK,3,2,TATA TELCOLINE,"2018.01.22.,  ADÁSVÉTEL",b2
420,9,37,DÓCS DÁVID,4,TEHER-GK,4,3,VOLKSWAGEN LT 40,"2018.11.02.,  ADÁSVÉTEL",b2
420,11,37,DÓCS DÁVID,5,TEHER-GK,5,4,TATA TELCOLINE,2024.07  ADÁSVÉTEL,b2
420,13,37,DÓCS DÁVID,6,TEHER-GK,6,5,SUZUKI SWIFT,2023.12.23.  ADÁSVÉTEL,b2
420,15,37,DÓCS DÁVID,7,TEHER-GK,7,6,ROBUR,2024.07.  ADÁSVÉTEL,b2
420,17,37,DÓCS DÁVID,8,TEHER-GK,8,7,SKODA SUPERB,2024.03.  ADÁSVÉTEL,b2
431,3,38,DR. DÁVID FERENC,1,SZGK,1,1,VW PASSAT,"2020.,  VÉTEL",a
450,3,40,DUNAI MÓNIKA,1,SZGK,1,1,KIA CEED,2023.  VÁSÁRLÁS (HASZNÁLTAN),a
471,3,42,ERŐS GÁBOR,1,SZGK,1,1,OPEL ASTRA J,ADÁS VÉTEL 2013.10.17.  TULAJDONOS,a
471,5,42,ERŐS GÁBOR,2,SZGK,2,2,TRABANT P50,ADÁS VÉTEL 2013. 05.22.  TULAJDONOS,a-2
481,9,43,FARKAS SÁNDOR,1,VÍZI-LÉGI,1,1,"MOTORCSÓNAK, BAYLINER 185",2011  VÁSÁRLÁS,vizi
491,9,44,FARKAS SÁNDOR,1,VÍZI-LÉGI,1,1,"MOTORCSÓNAK, BAYLINER 185",2011  VÁSÁRLÁS,vizi
503,3,45,DR FAZEKAS SÁNDOR,1,SZGK,1,1,SUZUKI VITARA,2018. VI. 22.  VÉTEL,a
503,5,45,DR FAZEKAS SÁNDOR,2,SZGK,2,2,TOYOTA YARIS CROSS,2024. V. 8.  VÉTEL,a-2
512,9,46,DR. FÓNAGY JÁNOS,1,VÍZI-LÉGI,1,1,"TÚRAKENU, 3 SZEMÉLYES",1985.  VÉTEL,vizi
530,3,47,FONT SÁNDOR,1,SZGK,1,1,VW TIGUAN,2018  VÉTEL,a
530,5,47,FONT SÁNDOR,2,TEHER-GK,2,1,"AUTÓUTÁNFUTÓ, EGYEDI GYÁRTMÁNYÚ",2020  HAGYATÉK,b
530,7,47,FONT SÁNDOR,3,TEHER-GK,3,2,TRAKTOR BELORUSZ 920.3,2020  HAGYATÉK,b2
530,9,47,FONT SÁNDOR,4,TEHER-GK,4,3,PÓTKOCSI ROMÁN 5T,2020  HAGYATÉK,b2
530,11,47,FONT SÁNDOR,5,TEHER-GK,5,4,PÓTKOCSI RM7,2021  VÉTEL,b2
541,3,48,FÖLDI LÁSZLÓ,1,SZGK,1,1,KIA SPORTAGE,"2022,  ADÁSVÉTEL",a
550,3,49,FÖLDESI GYULA,1,SZGK,1,1,BMW X3 2022. 03. HÓ,2022. 12. HÓ  ADÁS-VÉTEL,a
562,3,50,DR. FERENCZ ORSOLYA,1,SZGK,1,1,NISSAN QASHQAI,"2013,  ADÁSVÉTEL",a
590,3,53,DR. GURMAI ZITA,1,SZGK,1,1,VW T-CROSS,2020  VÁSÁRLÁS,a
600,3,54,GY. NÉMETH ERZSÉBET,1,SZGK,1,1,TOYOTA CHR,"2022,  LÍZING",a
